ISBN,Title,PublicationPlace,PublicationDate,Edition,AuthorNames
9780719549175,A bas les frontieres! - teaching and assessment resource book 2,London,1991,,Mais Tony; Proffitt Alan; Silverstone Helen
0793800730,A basic book of rabbits,Usa,1994,1ST,Myerovich Marcy
0713134968,A Basic Course in Statistics,London,1983,2nd,Clarke Geoffrey Mallin; Cooke Dennis
0713126728,A Basic Course in Statistics,LONDON,,,Cooke Dennis
0713512709,A basic dictionary of technical terms,London,1981,,Vincente Hugh
9780335233540,A Beginning Teacher's Guide to Special Educational Needs,Berkshire,2009,,Wearmouth Janice
0946872287,A Belfast Chronicle 1789,,,,
9780198181736,A Bibliography Of Jane Austin,Oxford,1982,,Gilson David
0861013530,A birdkeeper's guide to budgies,London,1988,1ST,Alderton David
,A Book of Australian Verse,London,1968,2nd ed.,Wright Judith 
,A Book of Comfort: an anthology,Glasgow,1977 1982 reprint ,,Goudge Elizabeth
BOC579013,A book of curves,London,1961,,Lockwood E. H.
9780856404580,A Book Of Ireland,Belfast,1991,,O'Connor F
9780192503503,A Book of Narrative Verse,Oxford,1963,Rev,Collins V. H.
,A Book of Scottish Verse,London,1967,2nd ed. rev.,Mackie Robert Laird
,A Book of South African Verse,London,1959 1968 reprint ,,
0582431824,A bout de souffle,Harlow,2000,,Sheahan-Wells A.
0471714283,A Brief Atlas of the Human Skeleton Surface Anatomy and Selected Medical Images,New York USA,2006,,Tortora Gerard J.
0471714283,A Brief Atlas of the Human Skeleton Surface Anatomy and Selected Medical Images,New York USA,2006,,Tortora Gerard J.
0471714283,A Brief Atlas of the Human Skeleton Surface Anatomy and Selected Medical Images,New York USA,2006,,Tortora Gerard J.
0471714283,A Brief Atlas of the Human Skeleton Surface Anatomy and Selected Medical Images,New York USA,2006,,Tortora Gerard J.
0471714283,A Brief Atlas of the Human Skeleton Surface Anatomy and Selected Medical Images,New York USA,2006,,Tortora Gerard J.
9780470141137,A Brief Atlas of the Skeleton Surface Anatomy and Selected Medical Images,New Jersey,2008,,Tortora Gerard J.
9783905829556,A Brief History of Curating,Zurich,2010,,Obrist Hans Ulrich
0245523375,A brief history of engineering,London,1974,,Guest Martin
9780030474262,A Brief History of Psychology,Eastbourne,1979,Revised,Wertheimer Micheal
0553560727,A brilliant madness - living with manic depressive illness,Toronto,1992,,Duke Patty; Hochman Gloria
0240807006,A broadcast engineering tutorial for non-engineers,,2005,3rd ed.,JONES Graham; National Association of Broadcasters
0240807006,A broadcast engineering tutorial for non-engineers,,2005,3rd ed.,JONES Graham; National Association of Broadcasters
A359,A brush with danger. A video-based training programme on health and safety in the painting and decorating industry. VID 062 and trainer's manual.,,1998,,
9780748711147,A Building Craft 'Foundation' NVQ: Common Core,Cheltenham,1991,,Brett Peter
